document_id,meeting_id,title,document_type,file_name,file_url,upload_date,doc_date,notes
94,94,Village Council Meeting Minutes - 2015-04-24,Minutes,04242015 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/04242015%20minutes.pdf,,2015-04-24,
95,95,Village Council Meeting Minutes - 2024-05-01,Minutes,05012024 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/05012024%20minutes.pdf,,2024-05-01,
96,96,Village Council Meeting Minutes - 2017-05-03,Minutes,050317 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2017%20Minutes/Council/050317%20Council%20Meeting%20Approved%20Minutes.pdf,,2017-05-03,
97,97,Village Council Meeting Minutes - 2023-05-03,Minutes,05032023 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/05032023%20minutes.pdf,,2023-05-03,
98,98,Village Council Meeting Minutes - 2016-05-04,Minutes,050416 Council Meeting Approved Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2016%20Minutes/Council/050416%20Council%20Meeting%20Approved%20Minutes.pdf,,2016-05-04,
99,99,Village Council Meeting Minutes - 2022-05-04,Minutes,05042022 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/COUNCIL/05042022%20minutes.pdf,,2022-05-04,
100,100,Village Council Meeting Minutes - 2021-05-05,Minutes,05052021 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/COUNCIL/05052021%20minutes.pdf,,2021-05-05,
101,101,Village Council Meeting Minutes - 2025-05-07,Minutes,05072025.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2025%20Minutes/Council/05072025.pdf,,2025-05-07,
102,102,Village Council Meeting Minutes - 2015-05-08,Minutes,05082015 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2015%20Minutes/Council/05082015%20minutes.pdf,,2015-05-08,
103,103,PZ&DB Meeting Minutes - 2023-05-09,Minutes,05092023 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/05092023%20PZDB%20Minutes.pdf,,2023-05-09,
104,104,PZ&DB Meeting Minutes - 2022-05-10,Minutes,05102022 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/05102022%20PZDB%20Minutes.pdf,,2022-05-10,
